entry,exit,days_held,return
2016-11-03,2016-11-07,2,0.020385157350868877
2016-11-30,2016-12-05,3,-0.007658643326039383
2016-12-28,2017-01-03,3,-0.0028510334996435516
2017-03-17,2017-03-22,3,-0.007207061300510187
2017-04-13,2017-04-17,1,0.008255680889324823
2017-05-17,2017-05-22,3,0.021541594861350433
2017-06-20,2017-06-21,1,0.009916094584286883
2017-06-27,2017-06-28,1,0.014401232190989655
2017-07-03,2017-07-05,1,0.009834530128004948
2017-08-10,2017-08-11,1,0.00761287404839095
2017-08-17,2017-08-22,3,0.013238059420835002
2017-10-26,2017-10-27,1,0.02915914832190536
2017-12-04,2017-12-06,2,0.0051396027226005
2017-12-29,2018-01-02,1,0.01753193802663766
2018-02-02,2018-02-06,2,-0.013953189300411672
2018-02-07,2018-02-09,2,-0.02563424947145898
2018-02-21,2018-02-23,2,0.02029283329052145
2018-02-27,2018-03-02,3,-0.01371069182389939
2018-03-16,2018-03-21,3,-0.022403762841935904
2018-03-22,2018-03-26,2,0.009801376087238634
2018-04-09,2018-04-10,1,0.022042074232882403
2018-04-11,2018-04-16,3,0.014505175710423979
2018-05-02,2018-05-03,1,-0.0001306079801475235
2018-06-27,2018-06-28,1,0.008573558648111268
2018-07-03,2018-07-05,1,0.012409705501018609
2018-08-13,2018-08-14,1,0.006257309941520406
2018-09-17,2018-09-20,3,0.018607896726173134
2018-10-10,2018-10-12,2,0.015078148942690772
2019-02-25,2019-02-27,2,0.0004234212436486917
2019-03-14,2019-03-19,3,0.015086718935614085
2019-03-22,2019-03-27,3,-0.0036965323006512563
2019-04-24,2019-04-26,2,0.004970453415806153
2019-05-01,2019-05-03,2,0.011534409138800994
2019-05-17,2019-05-22,3,-0.011046877683017597
2019-05-28,2019-05-31,3,-0.020240764782249565
2019-05-31,2019-06-04,2,0.005541167258928947
2019-06-25,2019-06-28,3,0.009779536461277605
2019-07-17,2019-07-18,1,0.001142173392798762
2019-07-19,2019-07-23,2,0.01455779334500873
2019-08-14,2019-08-19,3,0.031001544357375677
2019-08-20,2019-08-23,3,-0.02616717920044731
2019-08-23,2019-08-26,1,0.0151001894700582
2019-10-01,2019-10-03,2,-0.006406685236768794
2019-10-08,2019-10-11,3,0.03066449108197844
2019-10-22,2019-10-23,1,0.0019576920985371338
2019-10-29,2019-10-30,1,0.004842743866744659
2019-12-09,2019-12-11,2,0.0044989775051125225
2020-02-25,2020-02-28,3,-0.04442188708430006
2020-04-20,2020-04-23,3,-0.010449728990673313
2020-04-23,2020-04-24,1,0.015790772267456177
2020-04-28,2020-04-29,1,0.03546168958742624
2020-05-12,2020-05-14,2,-0.0013095126742119767
2020-05-19,2020-05-20,1,0.02001099001740081
2020-05-26,2020-05-27,1,0.00548802612481869
2020-06-11,2020-06-15,2,0.01970880681818188
2020-06-26,2020-06-29,1,0.01087848046622053
2020-07-07,2020-07-08,1,0.013174378662356157
2020-07-13,2020-07-14,1,0.00709959488187395
2020-07-28,2020-07-30,2,0.01679790026246719
2020-08-11,2020-08-12,1,0.02514370625268847
2020-09-08,2020-09-11,3,0.0018438844499077955
2020-09-16,2020-09-21,3,-0.024432612061478176
2020-09-23,2020-09-25,2,0.028028224225793874
2020-10-02,2020-10-05,1,0.021327998188063857
2020-10-16,2020-10-21,3,-0.01496662120450798
2020-10-28,2020-11-02,3,-0.0061373079708761935
2020-11-09,2020-11-11,2,0.004054538930749807
2020-11-18,2020-11-19,1,0.007852655625356864
2020-11-20,2020-11-24,2,0.014085511535855577
2020-12-23,2020-12-28,2,0.014555454941811652
2021-02-03,2021-02-04,1,0.011844438814289315
2021-02-22,2021-02-23,1,-0.0029812469947106957
2021-03-02,2021-03-05,3,-0.030515517465264375
2021-03-08,2021-03-11,3,0.060341856778551195
2021-03-18,2021-03-23,3,0.01788730994733201
2021-03-24,2021-03-26,2,0.013240210519347206
2021-05-10,2021-05-11,1,-0.0013626568639878434
2021-05-18,2021-05-19,1,0.0011533655848525726
2021-05-21,2021-05-24,1,0.01682608832907162
2021-06-09,2021-06-10,1,0.010420178368935495
2021-07-16,2021-07-19,1,-0.008217756120065811
2021-08-18,2021-08-20,2,0.015230015941698927
2021-09-01,2021-09-03,2,0.002600991628058269
2021-09-09,2021-09-14,3,-0.011113526438780386
2021-09-28,2021-10-01,3,0.0008872606542831285
2021-10-11,2021-10-13,2,0.004483273939533294
2021-11-22,2021-11-24,2,-0.001367106892282366
2021-12-01,2021-12-02,1,0.0072103232672608986
2021-12-09,2021-12-10,1,0.01085620111439578
2021-12-13,2021-12-15,2,0.012209851906312519
2022-01-05,2022-01-10,3,-0.01086781947641735
2022-01-13,2022-01-14,1,0.006210165059650441
2022-01-19,2022-01-24,3,-0.03598394476099587
2023-02-16,2023-02-17,1,-0.007057637371870373
2023-02-21,2023-02-23,2,0.009498717326492434
2023-03-06,2023-03-08,2,-0.007338452130189466
2023-03-09,2023-03-14,3,0.016090833101142454
2023-03-22,2023-03-24,2,0.015559027893214505
2023-04-12,2023-04-13,1,0.019604655699330342
2023-04-25,2023-04-27,2,0.033421977083949006
2023-05-03,2023-05-05,2,0.017641775724916542
2023-05-23,2023-05-26,3,0.04512288200274761
2023-06-07,2023-06-08,1,0.01242924665927525
2023-06-16,2023-06-22,3,-0.0034299623810577495
2023-06-26,2023-06-27,1,0.01719091864859501
2023-07-07,2023-07-10,1,0.000333009574025267
2023-07-21,2023-07-26,3,0.00503260369598757
2023-08-04,2023-08-07,1,0.008468557067147442
2023-08-16,2023-08-21,3,0.003756552942165925
2023-08-24,2023-08-25,1,0.007765679074871246
2023-09-12,2023-09-14,2,0.011995637949836269
2023-09-20,2023-09-25,3,-0.013530066815144792
2023-10-20,2023-10-24,2,0.01279336004579279
2023-10-25,2023-10-30,3,-0.0032733698328553107
2023-11-09,2023-11-10,1,0.022459893048128343
2023-11-29,2023-12-01,2,0.0003384535277271006
2023-12-06,2023-12-07,1,0.013969057220420966
2023-12-20,2023-12-21,1,0.011634042767042718
2024-01-04,2024-01-08,2,0.021866857405609785
2024-01-31,2024-02-01,1,0.011774702597717956
2024-02-26,2024-02-27,1,0.002411650125220266
2024-03-08,2024-03-12,2,0.010560782143515857
2024-03-18,2024-03-19,1,0.0024957825896054775
2024-03-21,2024-03-26,3,-0.005713897013808533
2024-03-26,2024-04-01,3,0.0036715240245377423
2024-04-04,2024-04-09,3,0.015837997259701364
2024-04-15,2024-04-18,3,-0.017754116046718837
2024-04-30,2024-05-02,2,0.0054288299442830645
2024-05-16,2024-05-20,2,0.006486679938264794
2024-06-24,2024-06-25,1,0.011436238180424274
2024-06-28,2024-07-01,1,0.00585682383179531
2024-07-11,2024-07-16,3,0.008966677609980378
2024-07-17,2024-07-22,3,0.0011523392486747497
2024-07-24,2024-07-29,3,0.0011109174871481997
2024-08-07,2024-08-08,1,0.030599215285677772
2024-08-22,2024-08-27,3,0.004017515517388048
2024-09-06,2024-09-09,1,0.012867812471879736
2024-09-18,2024-09-20,2,0.023337472701580042
2024-10-17,2024-10-21,2,0.008494572911750708
2024-10-28,2024-10-29,1,0.009603450731449303
2024-10-31,2024-11-05,3,0.01726975397371011
2024-12-18,2024-12-23,3,0.014032280099143257
